name,language_hint,semantic_category,confidence_weight,source_label,note
fides,la,trust,0.90,core_v3_wordnet_wiktionary,faith/trust root
fidus,la,trust,0.86,core_v3_wordnet_wiktionary,trusted/reliable
verus,la,trust,0.88,core_v3_wordnet_wiktionary,true/valid root
certus,la,trust,0.86,core_v3_wordnet_wiktionary,certain/reliable
clarus,la,clarity,0.88,core_v3_wordnet_wiktionary,clear/bright root
lucent,en,clarity,0.82,core_v3_wordnet_wiktionary,clarity/light cue
lumen,la,clarity,0.86,core_v3_wordnet_wiktionary,light metaphor
ordo,la,governance,0.82,core_v3_wordnet_wiktionary,order/system root
norma,la,governance,0.82,core_v3_wordnet_wiktionary,standard/rule root
canon,gr,governance,0.76,core_v3_wordnet_wiktionary,rule/measure root
stabilis,la,stability,0.86,core_v3_wordnet_wiktionary,stable root
firmus,la,stability,0.84,core_v3_wordnet_wiktionary,firm/strong root
anchor,en,stability,0.74,core_v3_wordnet_wiktionary,stability metaphor
equus,la,fairness,0.72,core_v3_wordnet_wiktionary,equity-related stem variant
equa,la,fairness,0.82,core_v3_wordnet_wiktionary,equity/balance root
ledger,en,finance,0.80,core_v3_wordnet_wiktionary,accounting signal
ratio,la,finance,0.86,core_v3_wordnet_wiktionary,calculation root
asset,en,finance,0.72,core_v3_wordnet_wiktionary,finance core concept
folio,la,finance,0.82,core_v3_wordnet_wiktionary,portfolio root
aegis,gr,stability,0.70,core_v3_wordnet_wiktionary,protection metaphor
domus,la,property,0.82,core_v3_wordnet_wiktionary,home/house root
domo,la,property,0.80,core_v3_wordnet_wiktionary,household root
terra,la,property,0.84,core_v3_wordnet_wiktionary,land/ground root
civis,la,property,0.78,core_v3_wordnet_wiktionary,civic/residential cue
tenure,en,property,0.74,core_v3_wordnet_wiktionary,property rights term
deed,en,property,0.70,core_v3_wordnet_wiktionary,property/legal concept
charter,en,governance,0.72,core_v3_wordnet_wiktionary,formal governance term
haven,en,stability,0.68,core_v3_wordnet_wiktionary,safety metaphor
keystone,en,stability,0.68,core_v3_wordnet_wiktionary,structural metaphor
trust,en,trust,0.66,core_v3_wordnet_wiktionary,generic trust token
