name,language_hint,semantic_category,confidence_weight,source_label,note
ananke,gr,governance,0.62,expansion_v3_mythic_conceptnet,necessity/order motif (long-tail)
themis,gr,fairness,0.64,expansion_v3_mythic_conceptnet,justice/order motif
eirene,gr,stability,0.60,expansion_v3_mythic_conceptnet,peace/stability motif
eunomia,gr,governance,0.62,expansion_v3_mythic_conceptnet,good order motif
harmonia,gr,fairness,0.58,expansion_v3_mythic_conceptnet,balance/harmony motif
mnemos,gr,clarity,0.56,expansion_v3_mythic_conceptnet,memory/accountability motif
astrea,gr,fairness,0.58,expansion_v3_mythic_conceptnet,justice-associated stem variant
hestia,gr,property,0.60,expansion_v3_mythic_conceptnet,hearth/home motif
vesta,la,property,0.58,expansion_v3_mythic_conceptnet,hearth/home motif
penates,la,property,0.54,expansion_v3_mythic_conceptnet,household guardians motif
janus,la,operations,0.58,expansion_v3_mythic_conceptnet,gateway/transition motif
terminus,la,property,0.56,expansion_v3_mythic_conceptnet,boundary marker motif
limen,la,operations,0.56,expansion_v3_mythic_conceptnet,threshold motif
arcadia,gr,quality,0.54,expansion_v3_mythic_conceptnet,ordered-land motif
argyre,gr,finance,0.56,expansion_v3_mythic_conceptnet,silver/value stem variant
aurelia,la,finance,0.54,expansion_v3_mythic_conceptnet,value/golden signal
cautio,la,trust,0.60,expansion_v3_mythic_conceptnet,caution/guarantee root
tutela,la,trust,0.60,expansion_v3_mythic_conceptnet,guardianship/protection root
secura,la,trust,0.58,expansion_v3_mythic_conceptnet,secure-derived root
sentia,la,clarity,0.56,expansion_v3_mythic_conceptnet,sense/insight stem
spectra,la,clarity,0.54,expansion_v3_mythic_conceptnet,visibility motif
vectis,la,operations,0.56,expansion_v3_mythic_conceptnet,lever/movement stem
nodus,la,operations,0.56,expansion_v3_mythic_conceptnet,link/node motif
ponere,la,operations,0.52,expansion_v3_mythic_conceptnet,place/set stem
arx,la,stability,0.52,expansion_v3_mythic_conceptnet,fortified-height motif
vallum,la,stability,0.54,expansion_v3_mythic_conceptnet,defensive boundary motif
praedi,la,property,0.56,expansion_v3_mythic_conceptnet,estate/praedium stem
insula,la,property,0.52,expansion_v3_mythic_conceptnet,building block in Roman usage
foedus,la,governance,0.56,expansion_v3_mythic_conceptnet,compact/treaty motif
consens,la,governance,0.54,expansion_v3_mythic_conceptnet,agreement/consensus stem
