shortlist_rank,screen_gate_v2,name,generator_family,lineage_atoms,source_confidence,scope,gate,quality_score,challenge_risk,total_score,descriptive_risk,similarity_risk,closest_mark,scope_penalty,itunes_de_count,itunes_de_exact,itunes_ch_count,itunes_ch_exact,itunes_us_count,itunes_us_exact,itunes_exact_countries,itunes_unknown_countries,domain_com_available,domain_com_fallback_available,domain_com_fallback_domain,domain_de_available,domain_ch_available,web_result_count,web_exact_hits,web_near_hits,web_sample_domains,web_source,pypi_exists,npm_exists,social_github_available,social_linkedin_available,social_x_available,social_instagram_available,social_unavailable_count,social_unknown_count,adversarial_risk,adversarial_top_hits,psych_spelling_risk,psych_trust_proxy,gibberish_penalty,gibberish_flags,false_friend_risk,false_friend_hits,trademark_dpma_url,trademark_swissreg_url,trademark_tmview_url,external_penalty,hard_fail,fail_reason,recommendation
1,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",certorio,source_pool,certo;rio,0.86,global,balanced,98,23,86,0,28,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,76,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=certorio,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=certorio,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=certorio,8,False,,strong
2,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",lumenvia,source_pool,lumen;via,0.86,global,balanced,98,23,86,0,28,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenvia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenvia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenvia,8,False,,strong
3,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",terravia,source_pool,terra;via,0.82,global,balanced,98,23,86,0,28,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=terravia,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=terravia,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=terravia,8,False,,strong
4,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",trueledva,expression,trueled;va,0.55,global,balanced,94,22,83,0,26,kostal,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=trueledva,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=trueledva,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=trueledva,8,False,,strong
5,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",ledgerla,source_pool,ledger;la,0.80,global,balanced,95,23,83,0,28,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerla,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerla,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerla,8,False,,strong
6,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",ledgerex,suggestive,ledger;ex,0.00,global,balanced,95,25,82,0,28,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,8,67,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=ledgerex,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=ledgerex,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=ledgerex,10,False,,strong
7,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",certono,source_pool,certo;no,0.86,global,balanced,93,24,81,0,30,objego,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,76,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=certono,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=certono,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=certono,8,False,,strong
8,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",fidemen,blend,fidel;lumen,0.84,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=fidemen,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=fidemen,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=fidemen,8,False,,strong
9,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",fiderum,blend,fidel;verum,0.82,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=fiderum,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=fiderum,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=fiderum,8,False,,strong
10,"recommendation in {strong,consider}; hard_fail=false; challenge_risk<=30; external_penalty<=16; gibberish_penalty<=20; false_friend_risk<=20; psych_spelling_risk<=20; diversity stage1(prefix4<=3,suffix3<=2,root5<=2,family caps); stage2(backfill by score with root5 relaxed)",lumenna,source_pool,lumen;na,0.86,global,balanced,93,24,81,0,30,saldeo,0,-2,False,-2,False,-2,False,,,unknown,unknown,,unknown,unknown,0,0,0,,disabled,unknown,unknown,unknown,unknown,unknown,unknown,0,4,0,,0,70,0,,0,,https://register.dpma.de/DPMAregister/marke/register/erweitert?queryString=lumenna,https://www.swissreg.ch/srclient/faces/jsp/trademark/sr300.jsp?language=de&searchText=lumenna,https://www.tmdn.org/tmview/#/tmsearch?page=1&criteria=lumenna,8,False,,strong
